Model name,Accuracy,Precision,Recall,F1-Score,,,,,,,1-MELT_TEMP-MOTORSPEED-INSP,1MMI,TSI,1-TSI
1-TSI,0.694141667,0.714305534,0.761657495,0.73722194,,,,,,,1-MELT_TEMP-MOTORSPEED,1MM,TS,1-TS
1-TS,0.692708333,0.709409065,0.768979048,0.737993904,,,,,,,1-MELT_TEMP-INSP,1MI,TI,1-TI
1-TI,0.672641667,0.712967299,0.699475416,0.706156919,,,,,,,1-MOTORSPEED-INSP,1MOI,SI,1-SI
1-SI,0.626233333,0.668827229,0.667898151,0.668362367,,,,,,,5-MELT_TEMP-MOTORSPEED-INSP,5MMI,TSI,5-TSI
5-TSI,0.78034817,0.785605987,0.837666672,0.810801499,,,,,,,5-MELT_TEMP-MOTORSPEED,5MM,TS,5-TS
5-TS,0.777364811,0.781779308,0.83660189,0.808262043,,,,,,,5-MELT_TEMP-INSP,5MI,TI,5-TI
5-TI,0.776723139,0.784128307,0.833909268,0.808253,,,,,,,5-MOTORSPEED-INSP,5MOI,SI,5-SI
5-SI,0.780089834,0.783412184,0.839718042,0.810588497,,,,,,,10-MELT_TEMP-MOTORSPEED-INSP,10MMI,TSI,10-TSI
10-TSI,0.778702801,0.785590217,0.835574933,0.809811996,,,,,,,10-MELT_TEMP-MOTORSPEED,10MM,TS,10-TS
10-TS,0.77853613,0.783849625,0.837858231,0.809954589,,,,,,,10-MELT_TEMP-INSP,10MI,TI,10-TI
10-TI,0.781094527,0.786589432,0.838516215,0.811723219,,,,,,,10-MOTORSPEED-INSP,10MOI,SI,10-SI
10-SI,0.779319483,0.784842024,0.838215506,0.810651184,,,,,,,20-MELT_TEMP-MOTORSPEED-INSP,20MMI,TSI,20-TSI
20-TSI,0.778022234,0.782126168,0.836775384,0.80852838,,,,,,,20-MELT_TEMP-MOTORSPEED,20MM,TS,20-TS
20-TS,0.778505592,0.784003118,0.835848805,0.809096264,,,,,,,20-MELT_TEMP-INSP,20MI,TI,20-TI
20-TI,0.778647266,0.783022142,0.837664845,0.809422333,,,,,,,20-MOTORSPEED-INSP,20MOI,SI,20-SI
20-SI,0.776297148,0.781170023,0.834852021,0.807119402,,,,,,,,,,
